Date,Player Name,Games Played,AB,Hits,RBI,HR,SB,Special,IP,Hits,Runs,SO,Big Plays,Special,Hitting Handedness,Pitching Handedness,Player Type,Capitan
1.11.20,Boo,1,3,2,0,0,0,0,9,12,4,9,0,0,,,Technique,0
1.11.20,Koopa,1,5,3,0,0,0,0,9,10,1,14,0,0,,,Balance,0
1.11.20,Grandpapa Toad,1,4,3,0,0,0,0,0,0,0,0,0,0,,,Technique,0
1.11.20,Bowser,1,3,2,1,0,0,1,0,0,0,0,0,0,,,Power,1
1.11.20,DK,1,4,2,1,0,0,1,0,0,0,0,0,0,,,Power,1
1.11.20,Mario,1,4,2,0,0,1,2,0,0,0,0,0,0,,,Balance,1
1.11.20,Yoshi,1,3,2,1,0,0,0,0,0,0,0,0,0,,,Speed,1
1.11.20,Birdo,1,4,1,0,0,0,1,0,0,0,0,1,0,,,Balance,1
1.11.20,Daisy,1,4,1,1,0,0,0,0,0,0,0,0,0,,,Balance,1
1.11.20,Flying Koopa,1,4,1,0,0,1,0,0,0,0,0,0,0,,,Technique,0
1.11.20,Hammer/Etc. Bro,1,4,1,0,0,0,0,0,0,0,0,0,0,,,Power,0
1.11.20,King Boo,1,4,1,0,0,0,1,0,0,0,0,0,0,,,Power,0
1.11.20,Petey,1,4,1,0,0,0,0,0,0,0,0,0,0,,,Power,0
1.11.20,Drybones,1,3,0,0,0,0,0,0,0,0,0,0,0,,,Technique,0
1.11.20,Luigi,1,4,0,0,0,0,0,0,0,0,0,0,0,,,Balance,1
1.11.20,Magikoopa,1,3,0,0,0,0,0,0,0,0,0,0,0,,,Technique,0
1.11.20,Monty,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Speed,0
1.11.20,Mumbo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Power,0
1.11.20,Noki,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Speed,0
1.11.20,Peach,1,4,0,0,0,0,1,0,0,0,0,0,0,,,Technique,1
1.11.20,Shy Guy,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Balance,0
