"","date","player_name","played_game","at_bats","hits","runs_batted_in","homeruns","stolen_bases","special_hitting","innings_pitched","hits_allowed","runs_allowed","strikeouts","big_plays","special_pitching","Hitting.Handedness","Pitching.Handedness","player_type","captain","special_use_rate","batting_average","era","so9","hip","cum_at_bats","cum_hits","running_avg","cum_runs_allowed","cum_innings","running_era"
"1",2020-01-11,"Boo","1",3,2,0,0,0,0,9,12,4,9,0,0,0,0,"Technique","0",0,0.343333333333333,4.38813843817441,7.81712093357845,1.40676204939653,3,2,0.666666666666667,4,9,4
"2",2020-01-11,"Koopa","1",5,3,0,0,0,0,9,10,1,14,0,0,0,0,"Balance","0",0.0101010101010101,0.313131313131313,3.20738137082601,7.95254833040422,1.23999218902558,5,3,0.6,1,9,1
"3",2020-01-11,"Grandpapa Toad","1",4,3,0,0,0,0,0,0,0,0,0,0,0,0,"Technique","0",0,0.438311688311688,0,0,3.03030303030303,4,3,0.75,0,0,0
"4",2020-01-11,"Bowser","1",3,2,1,0,0,1,0,0,0,0,0,0,0,0,"Power","1",0.034965034965035,0.332167832167832,13.5542168674699,10.8433734939759,2.10843373493976,3,2,0.666666666666667,0,0,0
"5",2020-01-11,"DK","1",4,2,1,0,0,1,0,0,0,0,0,0,0,0,"Power","1",0.1003861003861,0.409266409266409,7.2,5.4,1.76,4,2,0.5,0,0,0
"6",2020-01-11,"Mario","1",4,2,0,0,1,2,0,0,0,0,0,0,0,0,"Balance","1",0.430034129692833,0.453924914675768,8.3017320897817,6.45690273649687,1.63984831403095,4,2,0.5,0,0,0
"7",2020-01-11,"Yoshi","1",3,2,1,0,0,0,0,0,0,0,0,0,0,0,"Speed","1",0.131578947368421,0.345864661654135,5.38922155688623,0,2.39520958083832,3,2,0.666666666666667,0,0,0
"8",2020-01-11,"Birdo","1",4,1,0,0,0,1,0,0,0,0,1,0,0,0,"Balance","1",0.26,0.343333333333333,21.6867469879518,5.42168674698795,2.40963855421687,4,1,0.25,0,0,0
"9",2020-01-11,"Daisy","1",4,1,1,0,0,0,0,0,0,0,0,0,0,0,"Balance","1",0.151515151515152,0.34469696969697,4.67012601927354,11.3417346182357,1.70496664195701,4,1,0.25,0,0,0
"10",2020-01-11,"Flying Koopa","1",4,1,0,0,1,0,0,0,0,0,0,0,0,0,"Technique","0",0.0069204152249135,0.325259515570934,4.12968665096903,7.11827567469661,1.42486264565598,4,1,0.25,0,0,0
