"","date","total_hits","total_at_bats","total_average","gameday","cum_at_bats","cum_hits","running_avg"
"1",2019-08-20,25,71,0.352112676056338,1,71,25,0.352112676056338
"2",2019-08-29,19,74,0.256756756756757,2,145,44,0.303448275862069
"3",2019-08-30,56,160,0.35,3,305,100,0.327868852459016
"4",2019-09-11,21,71,0.295774647887324,4,376,121,0.321808510638298
"5",2019-09-14,20,65,0.307692307692308,5,441,141,0.319727891156463
"6",2020-01-11,22,69,0.318840579710145,6,510,163,0.319607843137255
"7",2020-01-19,17,60,0.283333333333333,7,570,180,0.315789473684211
"8",2020-02-28,38,104,0.365384615384615,8,674,218,0.323442136498516
"9",2020-03-20,18,70,0.257142857142857,9,744,236,0.317204301075269
"10",2020-03-21,52,165,0.315151515151515,10,909,288,0.316831683168317
"11",2020-03-23,29,78,0.371794871794872,11,987,317,0.321175278622087
"12",2020-03-24,41,153,0.26797385620915,12,1140,358,0.314035087719298
"13",2020-03-25,43,154,0.279220779220779,13,1294,401,0.309891808346213
"14",2020-03-26,26,74,0.351351351351351,14,1368,427,0.312134502923977
"15",2020-03-27,25,74,0.337837837837838,15,1442,452,0.313453536754508
"16",2020-03-29,35,81,0.432098765432099,16,1523,487,0.319763624425476
"17",2020-03-31,51,150,0.34,17,1673,538,0.321578003586372
"18",2020-04-02,19,70,0.271428571428571,18,1743,557,0.31956397016638
"19",2020-04-04,21,73,0.287671232876712,19,1816,578,0.318281938325991
"20",2020-04-05,39,87,0.448275862068966,20,1903,617,0.324224908039937
"21",2020-04-08,21,73,0.287671232876712,21,1976,638,0.322874493927126
"22",2020-04-09,30,71,0.422535211267606,22,2047,668,0.326331216414265
"23",2020-04-10,28,81,0.345679012345679,23,2128,696,0.327067669172932
"24",2020-04-14,19,67,0.283582089552239,24,2195,715,0.325740318906606
"25",2020-04-16,25,72,0.347222222222222,25,2267,740,0.326422584913983
"26",2020-04-17,31,79,0.392405063291139,26,2346,771,0.328644501278772
"27",2020-04-22,18,69,0.260869565217391,27,2415,789,0.326708074534162
"28",2020-04-24,21,70,0.3,28,2485,810,0.325955734406439
"29",2020-04-30,23,68,0.338235294117647,29,2553,833,0.326282804543674
"30",2020-09-15,25,69,0.36231884057971,30,2622,858,0.327231121281465
"31",2020-09-18,23,76,0.302631578947368,31,2698,881,0.326538176426983
"32",2020-09-19,21,50,0.42,32,2748,902,0.328238719068413
"33",2020-09-22,15,62,0.241935483870968,33,2810,917,0.326334519572954
"34",2020-09-23,28,76,0.368421052631579,34,2886,945,0.327442827442827
"35",2020-09-24,20,68,0.294117647058824,35,2954,965,0.326675693974272
"36",2020-09-26,39,140,0.278571428571429,36,3094,1004,0.324499030381383
"37",2020-09-27,16,68,0.235294117647059,37,3162,1020,0.32258064516129
"38",2020-09-28,25,80,0.3125,38,3242,1045,0.322331893892659
"39",2020-09-29,24,79,0.30379746835443,39,3321,1069,0.321890996687745
"40",2020-10-06,17,67,0.253731343283582,40,3388,1086,0.320543093270366
"41",2020-10-08,25,76,0.328947368421053,41,3464,1111,0.320727482678984
"42",2020-10-10,30,82,0.365853658536585,42,3546,1141,0.321771009588268
"43",2020-10-11,21,67,0.313432835820896,43,3613,1162,0.321616385275394
"44",2020-10-12,10,57,0.175438596491228,44,3670,1172,0.319346049046322
"45",2020-10-14,24,70,0.342857142857143,45,3740,1196,0.319786096256684
"46",2020-10-16,22,71,0.309859154929577,46,3811,1218,0.319601154552611
"47",2020-10-18,34,94,0.361702127659574,47,3905,1252,0.320614596670935
"48",2020-10-19,19,66,0.287878787878788,48,3971,1271,0.320070511206245
"49",2020-10-21,31,78,0.397435897435897,49,4049,1302,0.321560879229439
"50",2020-10-23,25,67,0.373134328358209,50,4116,1327,0.322400388726919
"51",2020-10-25,44,88,0.5,51,4204,1371,0.326117982873454
"52",2020-10-26,63,153,0.411764705882353,52,4357,1434,0.329125545099839
"53",2020-10-27,21,67,0.313432835820896,53,4424,1455,0.328887884267631
"54",2020-10-28,34,84,0.404761904761905,54,4508,1489,0.330301685891748
"55",2020-10-30,48,144,0.333333333333333,55,4652,1537,0.330395528804815
"56",2020-11-01,62,157,0.394904458598726,56,4809,1599,0.332501559575795
"57",2020-11-03,28,75,0.373333333333333,57,4884,1627,0.333128583128583
"58",2020-11-06,55,151,0.364238410596026,58,5035,1682,0.334061569016882
"59",2020-11-09,15,64,0.234375,59,5099,1697,0.332810354971563
"60",2020-11-13,37,89,0.415730337078652,60,5188,1734,0.334232845026985
